Combination,SVM Accuracy,SVM AUC,KNN Accuracy,KNN AUC,Random Forest Accuracy,Random Forest AUC,Logistic Regression Accuracy,Logistic Regression AUC,XGB Accuracy,XGB AUC
Social.csv_Beta_FC,0.8,0.96,0.5333333333333333,0.49000000000000005,0.7333333333333333,0.78,0.8666666666666667,0.86,0.8666666666666667,0.9600000000000001
Social.csv_Beta_FCPCA,0.6666666666666666,0.5,0.6666666666666666,0.7500000000000001,0.6666666666666666,0.5399999999999999,0.6666666666666666,0.8799999999999999,0.6666666666666666,0.29000000000000004
Social.csv_HighBeta_FC,0.8666666666666667,0.9642857142857143,0.5333333333333333,0.5625,0.8666666666666667,0.8571428571428571,0.9333333333333333,1.0,0.9333333333333333,1.0
Social.csv_HighBeta_FCPCA,0.5333333333333333,0.5,0.5333333333333333,0.5,0.4,0.41964285714285715,0.5333333333333333,0.8571428571428571,0.5333333333333333,0.4821428571428571
Social.csv_Gamma_FC,0.8,0.9659090909090908,0.8,0.7954545454545455,0.8666666666666667,0.9545454545454545,0.7333333333333333,0.8863636363636362,1.0,1.0
Social.csv_Gamma_FCPCA,0.7333333333333333,0.5,0.7333333333333333,0.5,0.7333333333333333,0.3522727272727273,0.7333333333333333,0.9318181818181818,0.7333333333333333,0.7272727272727272
Social.csv_All_FC,0.8,0.875,0.6,0.6339285714285714,0.6666666666666666,0.8571428571428571,0.8,0.8392857142857143,0.7333333333333333,0.8928571428571428
Social.csv_All_FCPCA,0.5333333333333333,0.5,0.5333333333333333,0.5535714285714286,0.4666666666666667,0.4821428571428571,0.5333333333333333,0.8035714285714286,0.5333333333333333,0.7321428571428572
Depressive.csv_Delta_FC,0.7241379310344828,0.7207792207792207,0.7931034482758621,0.672077922077922,0.7586206896551724,0.7077922077922078,0.6896551724137931,0.7337662337662338,0.7931034482758621,0.8214285714285714
Depressive.csv_Delta_FCPCA,0.2413793103448276,0.5,0.4482758620689655,0.5064935064935066,0.3448275862068966,0.5941558441558442,0.2413793103448276,0.7922077922077922,0.7241379310344828,0.39935064935064934
Depressive.csv_Theta_FC,0.7586206896551724,0.7892156862745099,0.6551724137931034,0.8897058823529412,0.7241379310344828,0.8970588235294118,0.6551724137931034,0.7352941176470589,0.8620689655172413,0.9313725490196079
Depressive.csv_Theta_FCPCA,0.41379310344827586,0.5,0.5862068965517241,0.42401960784313725,0.41379310344827586,0.428921568627451,0.41379310344827586,0.8333333333333333,0.5862068965517241,0.5122549019607843
Depressive.csv_Alpha_FC,0.8275862068965517,0.7976190476190476,0.7241379310344828,0.8541666666666667,0.8275862068965517,0.9166666666666667,0.5517241379310345,0.6904761904761905,0.8620689655172413,0.9523809523809523
Depressive.csv_Alpha_FCPCA,0.27586206896551724,0.5,0.6551724137931034,0.5119047619047619,0.27586206896551724,0.8422619047619048,0.27586206896551724,0.8392857142857142,0.6896551724137931,0.5357142857142857
Depressive.csv_Beta_FC,0.7586206896551724,0.7105263157894737,0.5862068965517241,0.6105263157894737,0.7241379310344828,0.9105263157894737,0.8620689655172413,0.8105263157894737,0.8275862068965517,0.9105263157894737
Depressive.csv_Beta_FCPCA,0.3448275862068966,0.5263157894736842,0.6551724137931034,0.37894736842105264,0.5517241379310345,0.4236842105263158,0.3448275862068966,0.8789473684210527,0.6551724137931034,0.6052631578947367
Depressive.csv_HighBeta_FC,0.7586206896551724,0.7608695652173914,0.7586206896551724,0.6521739130434783,0.8275862068965517,0.7753623188405797,0.6206896551724138,0.644927536231884,0.8275862068965517,0.8695652173913043
Depressive.csv_HighBeta_FCPCA,0.20689655172413793,0.5,0.7931034482758621,0.5,0.27586206896551724,0.6086956521739131,0.20689655172413793,0.7028985507246377,0.3103448275862069,0.44202898550724645
Depressive.csv_Gamma_FC,0.6551724137931034,0.6476190476190475,0.5862068965517241,0.5428571428571429,0.7241379310344828,0.8904761904761905,0.6551724137931034,0.5857142857142856,0.7586206896551724,0.8952380952380952
Depressive.csv_Gamma_FCPCA,0.4827586206896552,0.5,0.7241379310344828,0.7333333333333334,0.4827586206896552,0.6333333333333333,0.4827586206896552,0.8952380952380952,0.5172413793103449,0.4
Depressive.csv_All_FC,0.7586206896551724,0.7678571428571428,0.6551724137931034,0.5476190476190477,0.7931034482758621,0.8273809523809523,0.6896551724137931,0.6636904761904762,0.8620689655172413,0.9226190476190476
Depressive.csv_All_FCPCA,0.3448275862068966,0.6577380952380952,0.7241379310344828,0.4583333333333333,0.3103448275862069,0.5535714285714286,0.3103448275862069,0.7440476190476191,0.7241379310344828,0.4107142857142857
Adjustment.csv_Delta_FC,0.7857142857142857,0.9111111111111111,0.6428571428571429,0.6000000000000001,0.7142857142857143,0.7777777777777778,0.7857142857142857,0.9555555555555555,0.7142857142857143,0.9333333333333332
Adjustment.csv_Delta_FCPCA,0.6428571428571429,0.5,0.6428571428571429,0.5,0.5714285714285714,0.5555555555555556,0.6428571428571429,0.8666666666666667,0.6428571428571429,0.4777777777777778
Adjustment.csv_Theta_FC,0.8571428571428571,1.0,1.0,1.0,0.7857142857142857,0.8846153846153846,0.7857142857142857,0.9230769230769231,0.9285714285714286,1.0
Adjustment.csv_Theta_FCPCA,0.9285714285714286,0.5,0.9285714285714286,0.5,0.2857142857142857,0.23076923076923073,0.9285714285714286,1.0,0.9285714285714286,0.46153846153846156
Adjustment.csv_Alpha_FC,0.7857142857142857,0.9375,0.5714285714285714,0.75,0.7142857142857143,0.8229166666666666,0.7142857142857143,0.7083333333333333,0.7857142857142857,0.9791666666666666
Adjustment.csv_Alpha_FCPCA,0.5714285714285714,0.5,0.5714285714285714,0.5208333333333334,0.6428571428571429,0.5625,0.5714285714285714,0.8958333333333334,0.5714285714285714,0.48958333333333337
Adjustment.csv_Beta_FC,0.7857142857142857,0.8367346938775511,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8673469387755102,0.7142857142857143,0.6938775510204082,0.7857142857142857,0.9591836734693877
Adjustment.csv_Beta_FCPCA,0.5,0.5,0.5,0.35714285714285715,0.5,0.5408163265306123,0.5,0.8367346938775511,0.5,0.5
Adjustment.csv_HighBeta_FC,0.8571428571428571,0.9696969696969697,0.7857142857142857,0.5,0.9285714285714286,1.0,0.8571428571428571,0.8787878787878787,0.9285714285714286,0.9696969696969697
Adjustment.csv_HighBeta_FCPCA,0.7857142857142857,0.5,0.7857142857142857,0.7424242424242422,0.6428571428571429,0.5606060606060606,0.7857142857142857,0.9696969696969697,0.7857142857142857,0.7272727272727273
